grid_size,num_robots,seed,time_taken,total_steps,coverage_pct,completeness,collisions,frozen_robots,overlap_area,robots_completed,avg_cells_per_robot,avg_path_per_robot,total_coverage,num_replans,area_R1,area_R2,area_R3,area_R4,area_R5,area_R6,area_R7,area_R8,area_R9,area_R10,area_R11,area_R12,area_R13,area_R14,area_R15,area_R16,area_R17,area_R18,area_R19,area_R20,area_R21,area_R22,area_R23,area_R24,area_R25,area_R26,area_R27,area_R28,area_R29,area_R30,area_R31,area_R32,area_R33,area_R34,area_R35,area_R36,area_R37,area_R38,area_R39,area_R40
16,20,18,107,107,97.9,N,2,0,3,18,12.05,12.05,233,1,35,6,14,4,10,6,6,53,11,5,5,5,6,14,4,9,11,8,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,19,55,55,99.16,N,2,0,8,18,12.2,12.2,236,0,27,11,12,11,14,13,6,11,8,15,15,18,9,7,10,13,11,8,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,20,53,53,96.64,N,2,0,4,18,12.1,12.1,230,1,10,15,15,18,21,10,17,9,7,10,8,10,26,11,7,9,11,5,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,21,39,39,100,Y,0,0,9,20,12.35,12.35,238,0,9,11,3,9,12,12,11,14,17,5,5,10,21,16,21,19,23,4,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,22,59,59,99.58,N,2,0,6,18,12.2,12.2,237,0,9,22,23,12,7,11,10,29,8,9,8,8,13,17,14,4,3,10,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,23,55,55,98.74,N,3,0,14,17,12.6,12.6,235,1,8,26,8,7,9,5,9,16,17,27,10,16,15,9,9,8,6,21,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,24,67,67,96.64,N,3,0,9,17,12.35,12.35,230,2,7,9,31,11,11,10,9,10,8,5,13,14,11,10,14,12,8,8,17,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,25,59,59,99.16,N,3,0,7,17,12.25,12.25,236,2,29,10,3,11,15,12,9,19,5,8,10,23,19,23,12,7,7,2,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,1,57,57,100,Y,3,0,15,22,10.12,10.12,238,3,11,8,6,6,11,4,8,15,20,25,7,6,7,7,6,8,4,20,4,9,8,6,8,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,2,46,46,100,Y,2,0,4,23,9.68,9.68,238,0,35,8,7,8,27,4,4,10,5,3,26,9,7,7,8,5,11,3,15,7,2,3,6,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,3,55,55,98.32,N,3,0,11,22,9.96,9.96,234,3,5,12,4,9,3,5,8,12,18,16,3,4,4,8,7,5,11,19,8,7,3,13,21,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,4,51,51,98.32,N,1,0,3,24,9.64,9.64,234,0,7,6,7,11,25,4,5,8,16,20,5,16,7,8,8,8,10,9,7,8,7,6,6,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,5,33,33,99.16,N,3,0,4,22,9.68,9.68,236,0,4,14,11,4,9,8,12,9,10,14,9,16,15,10,10,9,2,8,9,7,13,10,13,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25,6,38,38,100,Y,3,0,5,22,9.72,9.72,238,0,8,15,7,11,8,7,14,9,12,7,23,23,3,9,12,7,4,12,5,3,4,16,10,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
